county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Kwale,RIP,Panama Shimoni Sanitation Project,2017/2018,J6P,"GoS, GoF",,sanitation,institutional_sanitation,n/a,pour_flush,pour_flush,yes,42856,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,315,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10899985?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549694609113.jpg,-4.645429774,39.3758286,4.880136967,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Non_operational,no,n/a,Poor,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10899986?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549695770788.jpg,-4.645358208,39.38502576,-8.841480255,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42948,n/a,n/a,Temporarily_stopped,no,n/a,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900051?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549696454921.jpg,-4.645913455,39.38426944,-21.60889816,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,storage_tank,plastic_moulded_tank,n/a,n/a,yes,42887,yes,Fair,Temporarily_stopped,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900055?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549697590908.jpg,-4.647308278,39.38147897,-35.11531067,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,yes,Good,Temporarily_stopped,no,Seasonal,Fair,Fair,yes,Committee,Men,300,n/a,n/a,Limited,unknown,Days_per_Month,n/a,0_7,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10900056?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549698989596.jpg,-4.645831565,39.38062422,-16.59905624,4
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900057?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549699760095.jpg,-4.641105356,39.37927433,-16.395504,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,43040,yes,Good,Operational,no,Seasonal,Fair,Fair,no,Committee,Women,330,n/a,n/a,Enough,Very_good,Days_per_Month,n/a,8_16,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10900061?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549701375853.jpg,-4.615159835,39.38250181,-23.38372993,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,storage_tank,plastic_moulded_tank,n/a,n/a,yes,43040,yes,Good,Temporarily_stopped,no,Seasonal,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,Enough,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900062?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549702230354.jpg,-4.606272035,39.38235711,-28.38098335,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,43040,yes,Good,Temporarily_stopped,no,Seasonal,Fair,Fair,yes,Committee,Women,330,n/a,n/a,Enough,Very_good,Hours_per_Day,06_12,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10900069?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549702037514.jpg,-4.606315804,39.38231435,-37.92402267,4
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,no,n/a,Non_operational,no,Rare_or_Not,Good,Good,no,other,Men,0,n/a,n/a,Permanently_dry,unknown,Hours_per_Day,0-6,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10900483?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549693421921.jpg,-4.643015,39.36721167,9,5.2
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,pipeline,n/a,n/a,n/a,yes,42887,yes,Good,Non_operational,no,Rare_or_Not,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900492?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549810880240.jpg,-4.645403333,39.38491667,11.1,5.1
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Temporarily_stopped,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900493?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549697109535.jpg,-4.647123333,39.383725,1.2,5.3
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,yes,Fair,Temporarily_stopped,no,Regular,Good,Good,yes,Employee,Women,300,n/a,n/a,Enough,Very_good,Months_per_Year,n/a,n/a,9_12,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10900497?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549698049941.jpg,-4.647233333,39.38149167,12.1,5.8
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,storage_tank,plastic_moulded_tank,n/a,n/a,yes,42887,yes,Good,Temporarily_stopped,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,Limited,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900502?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549698791669.jpg,-4.645805,39.38063167,1.4,5.9
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,pipeline,n/a,n/a,n/a,yes,42887,no,n/a,Temporarily_stopped,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10900506?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549699341459.jpg,-4.643183333,39.380835,-6.9,5.6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,yes,Good,Non_operational,no,Rare_or_Not,Good,Good,no,other,Men,0,n/a,n/a,Permanently_dry,unknown,Hours_per_Day,0-6,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10900511?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549699800678.jpg,-4.641093333,39.37928667,16.2,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,no,n/a,Temporarily_stopped,no,Regular,Good,Good,yes,other,Women,300,n/a,n/a,Enough,Very_good,Days_per_Month,n/a,17_25,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10900512?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549700905233.jpg,-4.626425,39.38676833,9.5,5.5
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,storage_tank,plastic_moulded_tank,n/a,n/a,yes,42887,yes,Good,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,Abundant,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1549701354012.jpg,-4.615196667,39.38255333,-10,5.7
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,individual_connection,n/a,n/a,yes,42887,n/a,n/a,Operational,no,Regular,Fair,Good,n/a,n/a,n/a,3,n/a,n/a,Enough,Fair,Hours_per_Day,12_18,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10901304?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549612232825.jpg,-0.719311667,36.44023333,1923.1,5.1
Kwale,RIP,Magombani Rural Sanitation Project,2017/2018,J6P,"GoS, GoF",,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,43221,no,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,165,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10901915?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549618555858.jpg,-4.216621332,39.52052593,61,6
Kwale,RIP,Magombani Rural Sanitation Project,2017/2018,J6P,"GoS, GoF",,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,43221,no,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,160,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10901917?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549619023203.jpg,-4.216952878,39.52061629,52,6
Marsabit,RIP,Hula Hula Primary School,2014/2015,MTAP I,Danida,,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42005,yes,Fair,Operational,no,n/a,Good,Good,n/a,n/a,n/a,234,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10902041?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548916783081.jpg,2.312190863,37.94480911,1365,6
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Non_operational,no,n/a,Poor,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902432?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549693539782.jpg,-4.643011667,39.36740167,-2.9,5.9
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,43252,yes,Good,Non_operational,no,Erratic,Fair,Fair,no,Committee,Men,330,n/a,n/a,Permanently_dry,unknown,Hours_per_Day,0-6,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10902433?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549695912880.jpg,-4.645363333,39.38501667,-0.8,5.1
Kwale,RIP,Panama Shimoni Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,distribution_system,bulk_meter,n/a,n/a,yes,42948,n/a,n/a,Temporarily_stopped,no,n/a,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902434?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549702078103.jpg,-4.607185,39.382355,-9.8,5.7
Nyeri,WRI,Muringato WRUA,2017/2018,IFAD,IFAD,,water_resources,catchment_management,n/a,n/a,n/a,yes,43009,yes,Good,Operational,no,n/a,Good,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902514?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549714882485.jpg,-0.36962745,36.92439165,1819,4
Nyeri,WRI,Chania WRUA,2017/2018,IFAD,IFAD,,water_resources,catchment_management,n/a,n/a,n/a,yes,42767,n/a,n/a,n/a,n/a,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902515?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549700309085.jpg,-0.43153088,36.8573422,1989,5
Nyeri,WRI,Muringato WRUA,2017/2018,IFAD,IFAD,,water_resources,catchment_management,n/a,n/a,n/a,yes,42917,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902518?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549716442242.jpg,-0.37046044,36.9232728,1808,6
Baringo,UIP,Kcc_Kabonyony Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41730,no,n/a,Partially_operational,no,Regular,Fair,Good,yes,Committee,Women,120,n/a,n/a,Enough,Very_good,Hours_per_Day,06_12,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10902667?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549441162627.jpg,0.039824245,35.72061045,2107.373291,4.9
Baringo,UIP,Kcc_Kabonyony Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41730,n/a,n/a,Temporarily_stopped,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902668?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549447264746.jpg,0.049029994,35.72136936,2087.090576,4.9
Baringo,UIP,Kcc_Kabonyony Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,individual_connection,n/a,n/a,yes,41730,n/a,n/a,Temporarily_stopped,no,Rare_or_Not,Fair,Fair,n/a,n/a,n/a,7,n/a,n/a,Shortages,unknown,Months_per_Year,n/a,n/a,0_3,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902669?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549447542469.jpg,0.04894987,35.72136547,2083.69751,4.9
Baringo,UIP,Kcc_Kabonyony Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41730,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902670?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549448040519.jpg,0.048994065,35.72124386,2084.543457,4.9
Baringo,UIP,Kcc_Kabonyony Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,individual_connection,n/a,n/a,yes,41730,n/a,n/a,Operational,no,Seasonal,Fair,Good,n/a,n/a,n/a,5,n/a,n/a,Limited,Very_good,Days_per_Month,n/a,0_7,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902694?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549447871064.jpg,0.048912006,35.72130603,2096.467041,4.9
Nakuru,UIP,Market Area Public Pay Toilet Project (PSF),2013/2014,UPC,KfW,,sanitation,psf,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,41395,yes,Good,Operational,yes,n/a,Fair,Fair,yes,Committee,Women,200,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10902696?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549609992205.jpg,-0.712255065,36.43669593,1926.925537,4.9
Kirinyaga,WRI,Kiwe WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42917,yes,Fair,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902702?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549696326288.jpg,-0.583212865,37.30480897,1269,8
Kirinyaga,WRI,Rwamuthambi WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902704?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549712511594.jpg,-0.632765,37.20679217,1208,6
Kirinyaga,WRI,Rwamuthambi WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902713?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549721916173.jpg,-0.66317291,37.22484821,1211,5
Kirinyaga,WRI,Rwamuthambi WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902722?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549726379902.jpg,-0.556328581,37.21475615,1427,6
Kirinyaga,WRI,Kiwe WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Operational,yes,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902723?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549704423674.jpg,-0.521514388,37.24942488,1466,6
Kirinyaga,WRI,Kiwe WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Temporarily_stopped,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902724?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549705766692.jpg,-0.513199246,37.23467206,1527,6
Kirinyaga,WRI,Rwamuthambi WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43160,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10902725?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549717843385.jpg,-0.487836027,37.22708937,1670,6
Makueni,UIP,Kamunyolo Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,yes,Fair,Operational,no,Seasonal,Fair,Fair,yes,Individual,Men,1800,n/a,n/a,Shortages,Good,Days_per_Month,n/a,8_16,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10903037?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549264654578.jpg,-1.77942435,37.63165495,1133,5
Makueni,UIP,Kamunyolo Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903039?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549265059222.jpg,-1.77939531,37.6315943,1118,5
Makueni,UIP,Kamunyolo Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41671,no,n/a,Operational,no,Seasonal,Fair,Fair,yes,Individual,Women,1600,n/a,n/a,Limited,Good,Days_per_Month,n/a,8_16,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10903040?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549265743663.jpg,-1.77700696,37.63044366,1116,6
Makueni,UIP,Kamunyolo Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Good,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903041?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549266908612.jpg,-1.77721646,37.63005224,1131,4
Makueni,UIP,Kamunyolo Water Project,2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41671,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903042?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549267147305.jpg,-1.77711055,37.63050393,1121,5
Nyeri,WRI,Muringato WRUA,2017/2018,IFAD,IFAD,,water_resources,livelihood,n/a,n/a,n/a,yes,43009,no,n/a,Operational,no,Regular,Good,Good,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903257?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549714730935.jpg,-0.369768333,36.92433667,1827.2,5
Nyeri,WRI,Hombe CFA,2017/2018,IFAD,IFAD,,water_resources,catchment_management,n/a,n/a,n/a,yes,43070,no,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903353?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549869221032.jpg,-0.36634,37.12162667,1998.9,5.3
Laikipia,RIP,Sipili Water Project,2017/2018,J6P,"GoS, GoF",,water_supply,building,pump_house,n/a,n/a,yes,43405,yes,Good,Non_operational,no,n/a,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903424?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549545223060.jpg,0.401495,36.38104,2061.3,5.2
Nyeri,WRI,Chania WRUA,2017/2018,IFAD,IFAD,,water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,43132,yes,Good,Operational,no,Regular,Good,Fair,no,n/a,n/a,n/a,n/a,n/a,Abundant,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10903436?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549702781350.jpg,-0.430731667,36.85136667,2086.5,5.9
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,individual_connection,n/a,n/a,yes,42887,n/a,n/a,Operational,no,Regular,Good,Fair,n/a,n/a,n/a,13,n/a,n/a,Limited,Very_good,Hours_per_Day,06_12,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10904084?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549611719106.jpg,-0.719140309,36.44130828,1926.497925,4.9
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10904092?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549611885108.jpg,-0.719328743,36.44123055,1915.614014,4.9
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,individual_connection,n/a,n/a,yes,42887,n/a,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,60,n/a,n/a,Enough,Very_good,Hours_per_Day,06_12,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10904098?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549612518295.jpg,-0.720025047,36.44155764,1923.073486,4.9
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42887,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10904104?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549612630187.jpg,-0.720122468,36.44172133,1923.636963,4.9
Nakuru,UIP,"Kabati,Mithuri,Site & Service Water Project",2013/2014,UPC,KfW,,water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42887,yes,Poor,Operational,no,Regular,Good,Good,yes,Committee,Women,200,n/a,n/a,Enough,Very_good,Hours_per_Day,06_12,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10904105?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549614327948.jpg,-0.721939015,36.44744079,1928.378587,4.9
